* ******************************************************************************

* iCEcube Pin Table

* Version:            2016.02.27810

* Build Date:         Jan 28 2016 17:38:31

* File Generated:     Jun 5 2016 21:32:02

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40HX8K
Package, CT256

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
N13, VDDIO_SPI, not used, , , , , , bottomBank
N14, TRST_B, not used, , , , , , rightBank
N15, VCCIO_1, not used, , , , , , rightBank
N16, PIO, not used, , , , , , rightBank
P1, PIO, not used, , , , , , leftBank
P2, PIO, not used, , , , , , leftBank
P3, VCCIO_2, not used, , , , , , bottomBank
P4, PIO, not used, , , , , , bottomBank
P5, PIO, not used, , , , , , bottomBank
P6, PIO, not used, , , , , , bottomBank
P7, PIO, not used, , , , , , bottomBank
P8, PIO, not used, , , , , , bottomBank
P9, PIO, not used, , , , , , bottomBank
P10, PIO, not used, , , , , , bottomBank
P11, SPI_SI, not used, , , , , , bottomBank
P12, SPI_SO, not used, , , , , , bottomBank
P13, PIO, not used, , , , , , bottomBank
P14, PIO, not used, , , , , , rightBank
P15, PIO, not used, , , , , , rightBank
P16, PIO, not used, , , , , , rightBank
R1, PIO, not used, , , , , , leftBank
R2, PIO, not used, , , , , , bottomBank
R3, PIO, not used, , , , , , bottomBank
R4, PIO, not used, , , , , , bottomBank
R5, PIO, not used, , , , , , bottomBank
R6, PIO, not used, , , , , , bottomBank
R7, GND, not used, , , , , , UnknownBank
R8, VCCIO_2, not used, , , , , , bottomBank
R9, PIO_GBIN, not used, , , , , , bottomBank
R10, PIO, not used, , , , , , bottomBank
R11, SPI_SCK, not used, , , , , , bottomBank
R12, SPI_SS_B, not used, , , , , , bottomBank
R13, VCCIO_2, not used, , , , , , bottomBank
R14, PIO, not used, , , , , , rightBank
R15, PIO, not used, , , , , , rightBank
R16, PIO, not used, , , , , , bottomBank
T1, PIO, not used, , , , , , bottomBank
T2, PIO, not used, , , , , , bottomBank
T3, PIO, not used, , , , , , bottomBank
T4, GND, not used, , , , , , UnknownBank
T5, PIO, not used, , , , , , bottomBank
T6, PIO, not used, , , , , , bottomBank
T7, PIO, not used, , , , , , bottomBank
T8, PIO, not used, , , , , , bottomBank
T9, PIO, not used, , , , , , bottomBank
T10, PIO, not used, , , , , , bottomBank
T11, PIO, not used, , , , , , bottomBank
T12, GND, not used, , , , , , UnknownBank
T13, PIO, not used, , , , , , bottomBank
T14, PIO, not used, , , , , , bottomBank
T15, PIO, not used, , , , , , bottomBank
T16, PIO, not used, , , , , , bottomBank
Total Number of Used Pins, 10
